Canal,Energía (keV),Cuentas
1,12.49,3
2,12.97,0
3,13.46,4
4,13.94,9
5,14.42,3
6,14.9,1
7,15.38,5
8,15.87,13
9,16.35,31
10,16.83,49
11,17.31,61
12,17.79,160
13,18.27,316
14,18.76,467
15,19.24,735
16,19.72,1049
17,20.2,1557
18,20.68,2038
19,21.17,2152
20,21.65,1769
21,22.13,1090
22,22.61,607
23,23.09,461
24,23.58,356
25,24.06,312
26,24.54,272
27,25.02,228
28,25.5,210
29,25.99,219
30,26.47,171
31,26.95,172
32,27.43,177
33,27.91,188
34,28.39,160
35,28.88,179
36,29.36,146
37,29.84,158
38,30.32,147
39,30.8,161
40,31.29,137
41,31.77,138
42,32.25,157
43,32.73,143
44,33.21,136
45,33.7,170
46,34.18,173
47,34.66,144
48,35.14,154
49,35.62,161
50,36.11,161
51,36.59,167
52,37.07,151
53,37.55,165
54,38.03,159
55,38.51,175
56,39.0,173
57,39.48,148
58,39.96,150
59,40.44,161
60,40.92,175
61,41.41,164
62,41.89,173
63,42.37,194
64,42.85,158
65,43.33,156
66,43.82,169
67,44.3,143
68,44.78,190
69,45.26,161
70,45.74,177
71,46.22,236
72,46.71,256
73,47.19,191
74,47.67,190
75,48.15,171
76,48.63,151
77,49.12,159
78,49.6,173
79,50.08,172
80,50.56,163
81,51.04,177
82,51.53,183
83,52.01,188
84,52.49,198
85,52.97,203
86,53.45,222
87,53.94,179
88,54.42,211
89,54.9,172
90,55.38,173
91,55.86,187
92,56.34,169
93,56.83,149
94,57.31,178
95,57.79,160
96,58.27,176
97,58.75,193
98,59.24,188
99,59.72,214
100,60.2,177
101,60.68,189
102,61.16,190
103,61.65,180
104,62.13,237
105,62.61,360
106,63.09,503
107,63.57,510
108,64.06,284
109,64.54,188
110,65.02,181
111,65.5,194
112,65.98,196
113,66.46,220
114,66.95,198
115,67.43,207
116,67.91,169
117,68.39,199
118,68.87,200
119,69.36,198
120,69.84,185
121,70.32,236
122,70.8,194
123,71.28,208
124,71.77,185
125,72.25,220
126,72.73,210
127,73.21,219
128,73.69,211
129,74.18,256
130,74.66,254
131,75.14,249
132,75.62,236
133,76.1,220
134,76.58,259
135,77.07,263
136,77.55,242
137,78.03,209
138,78.51,187
139,78.99,193
140,79.48,213
141,79.96,225
142,80.44,183
143,80.92,224
144,81.4,186
145,81.89,197
146,82.37,176
147,82.85,187
148,83.33,244
149,83.81,202
150,84.3,260
151,84.78,224
152,85.26,208
153,85.74,209
154,86.22,202
155,86.7,226
156,87.19,259
157,87.67,244
158,88.15,212
159,88.63,215
160,89.11,191
161,89.6,245
162,90.08,243
163,90.56,195
164,91.04,263
165,91.52,298
166,92.01,537
167,92.49,657
168,92.97,519
169,93.45,313
170,93.93,240
171,94.41,254
172,94.9,213
173,95.38,224
174,95.86,180
175,96.34,220
176,96.82,235
177,97.31,212
178,97.79,212
179,98.27,236
180,98.75,236
181,99.23,234
182,99.72,222
183,100.2,220
184,100.68,200
185,101.16,207
186,101.64,223
187,102.13,231
188,102.61,245
189,103.09,232
190,103.57,213
191,104.05,232
192,104.53,209
193,105.02,245
194,105.5,203
195,105.98,215
196,106.46,213
197,106.94,245
198,107.43,231
199,107.91,245
200,108.39,245
201,108.87,231
202,109.35,229
203,109.84,219
204,110.32,191
205,110.8,213
206,111.28,211
207,111.76,222
208,112.25,269
209,112.73,242
210,113.21,253
211,113.69,208
212,114.17,227
213,114.65,227
214,115.14,236
215,115.62,235
216,116.1,230
217,116.58,215
218,117.06,213
219,117.55,208
220,118.03,216
221,118.51,244
222,118.99,196
223,119.47,226
224,119.96,200
225,120.44,205
226,120.92,230
227,121.4,232
228,121.88,221
229,122.37,231
230,122.85,230
231,123.33,212
232,123.81,234
233,124.29,200
234,124.77,221
235,125.26,248
236,125.74,224
237,126.22,218
238,126.7,202
239,127.18,230
240,127.67,214
241,128.15,215
242,128.63,211
243,129.11,208
244,129.59,219
245,130.08,198
246,130.56,207
247,131.04,243
248,131.52,194
249,132.0,214
250,132.49,196
251,132.97,193
252,133.45,246
253,133.93,195
254,134.41,223
255,134.89,189
256,135.38,221
257,135.86,185
258,136.34,201
259,136.82,203
260,137.3,205
261,137.79,216
262,138.27,215
263,138.75,201
264,139.23,218
265,139.71,230
266,140.2,212
267,140.68,218
268,141.16,201
269,141.64,204
270,142.12,193
271,142.6,212
272,143.09,241
