Canal,Energía (keV),Cuentas
1,11.99,2
2,12.48,4
3,12.96,3
4,13.44,3
5,13.92,3
6,14.41,2
7,14.89,1
8,15.37,2
9,15.86,0
10,16.34,1
11,16.82,9
12,17.31,79
13,17.79,223
14,18.27,307
15,18.75,413
16,19.24,593
17,19.72,800
18,20.2,791
19,20.69,713
20,21.17,424
21,21.65,318
22,22.14,291
23,22.62,240
24,23.1,243
25,23.58,223
26,24.07,228
27,24.55,196
28,25.03,235
29,25.52,175
30,26.0,205
31,26.48,184
32,26.97,185
33,27.45,168
34,27.93,191
35,28.41,174
36,28.9,186
37,29.38,194
38,29.86,191
39,30.35,171
40,30.83,159
41,31.31,167
42,31.8,158
43,32.28,185
44,32.76,149
45,33.24,186
46,33.73,184
47,34.21,174
48,34.69,170
49,35.18,172
50,35.66,172
51,36.14,185
52,36.63,217
53,37.11,173
54,37.59,179
55,38.07,158
56,38.56,208
57,39.04,163
58,39.52,164
59,40.01,180
60,40.49,170
61,40.97,164
62,41.46,153
63,41.94,190
64,42.42,181
65,42.9,200
66,43.39,183
67,43.87,189
68,44.35,189
69,44.84,186
70,45.32,212
71,45.8,236
72,46.29,283
73,46.77,212
74,47.25,178
75,47.74,184
76,48.22,181
77,48.7,191
78,49.18,200
79,49.67,194
80,50.15,161
81,50.63,193
82,51.12,184
83,51.6,214
84,52.08,225
85,52.57,206
86,53.05,206
87,53.53,188
88,54.01,177
89,54.5,181
90,54.98,176
91,55.46,199
92,55.95,168
93,56.43,185
94,56.91,196
95,57.4,185
96,57.88,211
97,58.36,192
98,58.84,207
99,59.33,201
100,59.81,220
101,60.29,209
102,60.78,201
103,61.26,205
104,61.74,242
105,62.23,398
106,62.71,615
107,63.19,500
108,63.67,246
109,64.16,233
110,64.64,204
111,65.12,210
112,65.61,194
113,66.09,216
114,66.57,219
115,67.06,208
116,67.54,201
117,68.02,205
118,68.5,196
119,68.99,233
120,69.47,201
121,69.95,243
122,70.44,203
123,70.92,226
124,71.4,196
125,71.89,244
126,72.37,238
127,72.85,218
128,73.33,238
129,73.82,274
130,74.3,305
131,74.78,269
132,75.27,223
133,75.75,252
134,76.23,340
135,76.72,306
136,77.2,252
137,77.68,237
138,78.16,233
139,78.65,245
140,79.13,221
141,79.61,197
142,80.1,204
143,80.58,220
144,81.06,211
145,81.55,220
146,82.03,232
147,82.51,246
148,83.0,262
149,83.48,271
150,83.96,282
151,84.44,255
152,84.93,234
153,85.41,247
154,85.89,215
155,86.38,236
156,86.86,223
157,87.34,236
158,87.83,225
159,88.31,216
160,88.79,259
161,89.27,262
162,89.76,247
163,90.24,239
164,90.72,229
165,91.21,332
166,91.69,644
167,92.17,762
168,92.66,468
169,93.14,280
170,93.62,261
171,94.1,247
172,94.59,230
173,95.07,217
174,95.55,216
175,96.04,221
176,96.52,258
177,97.0,219
178,97.49,240
179,97.97,226
180,98.45,215
181,98.93,235
182,99.42,232
183,99.9,234
184,100.38,229
185,100.87,225
186,101.35,212
187,101.83,226
188,102.32,219
189,102.8,232
190,103.28,205
191,103.76,221
192,104.25,246
193,104.73,257
194,105.21,256
195,105.7,267
196,106.18,236
197,106.66,241
198,107.15,233
199,107.63,216
200,108.11,242
201,108.59,262
202,109.08,259
