Canal,Energía (keV),Cuentas
1,12.49,3
2,12.97,5
3,13.46,1
4,13.94,4
5,14.42,2
6,14.9,4
7,15.38,4
8,15.87,1
9,16.35,4
10,16.83,0
11,17.31,12
12,17.79,78
13,18.27,241
14,18.76,279
15,19.24,461
16,19.72,709
17,20.2,961
18,20.68,1119
19,21.17,883
20,21.65,633
21,22.13,416
22,22.61,342
23,23.09,243
24,23.58,261
25,24.06,247
26,24.54,258
27,25.02,229
28,25.5,222
29,25.99,238
30,26.47,179
31,26.95,201
32,27.43,187
33,27.91,186
34,28.39,149
35,28.88,144
36,29.36,182
37,29.84,172
38,30.32,186
39,30.8,186
40,31.29,194
41,31.77,177
42,32.25,196
43,32.73,153
44,33.21,168
45,33.7,161
46,34.18,173
47,34.66,163
48,35.14,182
49,35.62,191
50,36.11,181
51,36.59,179
52,37.07,183
53,37.55,150
54,38.03,191
55,38.51,174
56,39.0,188
57,39.48,173
58,39.96,174
59,40.44,209
60,40.92,176
61,41.41,178
62,41.89,171
63,42.37,171
64,42.85,201
65,43.33,202
66,43.82,176
67,44.3,189
68,44.78,169
69,45.26,199
70,45.74,199
71,46.22,240
72,46.71,283
73,47.19,228
74,47.67,193
75,48.15,173
76,48.63,199
77,49.12,200
78,49.6,185
79,50.08,198
80,50.56,200
81,51.04,186
82,51.53,226
83,52.01,204
84,52.49,207
85,52.97,213
86,53.45,215
87,53.94,193
88,54.42,189
89,54.9,187
90,55.38,173
91,55.86,197
92,56.34,194
93,56.83,144
94,57.31,212
95,57.79,200
96,58.27,199
97,58.75,198
98,59.24,192
99,59.72,190
100,60.2,186
101,60.68,196
102,61.16,190
103,61.65,209
104,62.13,223
105,62.61,397
106,63.09,608
107,63.57,561
108,64.06,285
109,64.54,202
110,65.02,214
111,65.5,226
112,65.98,188
113,66.46,210
114,66.95,202
115,67.43,244
116,67.91,218
117,68.39,185
118,68.87,206
119,69.36,209
120,69.84,215
121,70.32,226
122,70.8,203
123,71.28,210
124,71.77,216
125,72.25,222
126,72.73,251
127,73.21,275
128,73.69,210
129,74.18,242
130,74.66,271
131,75.14,276
132,75.62,218
133,76.1,233
134,76.58,275
135,77.07,304
136,77.55,256
137,78.03,210
138,78.51,216
139,78.99,235
140,79.48,233
141,79.96,218
142,80.44,218
143,80.92,245
144,81.4,221
145,81.89,222
146,82.37,217
147,82.85,206
148,83.33,240
149,83.81,260
150,84.3,254
151,84.78,217
152,85.26,238
153,85.74,216
154,86.22,251
155,86.7,228
156,87.19,269
157,87.67,259
158,88.15,231
159,88.63,223
160,89.11,200
161,89.6,248
162,90.08,253
163,90.56,224
164,91.04,221
165,91.52,327
166,92.01,554
167,92.49,705
168,92.97,549
169,93.45,322
170,93.93,217
171,94.41,242
172,94.9,216
173,95.38,225
174,95.86,240
175,96.34,230
176,96.82,257
177,97.31,240
178,97.79,244
179,98.27,239
180,98.75,253
181,99.23,284
182,99.72,227
183,100.2,222
184,100.68,261
185,101.16,192
186,101.64,246
187,102.13,222
188,102.61,214
189,103.09,254
190,103.57,241
191,104.05,222
192,104.53,253
193,105.02,266
194,105.5,240
195,105.98,235
196,106.46,200
197,106.94,256
198,107.43,252
199,107.91,257
200,108.39,234
201,108.87,237
202,109.35,268
203,109.84,221
204,110.32,249
205,110.8,259
206,111.28,229
207,111.76,241
208,112.25,275
209,112.73,282
210,113.21,223
211,113.69,217
212,114.17,180
213,114.65,234
214,115.14,258
215,115.62,224
216,116.1,263
217,116.58,231
218,117.06,234
219,117.55,237
220,118.03,255
221,118.51,254
222,118.99,257
223,119.47,209
224,119.96,232
225,120.44,257
226,120.92,249
227,121.4,233
228,121.88,211
229,122.37,232
230,122.85,238
231,123.33,222
232,123.81,213
233,124.29,240
234,124.77,215
235,125.26,234
236,125.74,242
237,126.22,208
238,126.7,251
239,127.18,216
240,127.67,209
241,128.15,225
242,128.63,232
243,129.11,222
244,129.59,230
245,130.08,231
246,130.56,225
247,131.04,215
248,131.52,238
249,132.0,239
250,132.49,226
251,132.97,239
252,133.45,223
253,133.93,249
254,134.41,227
255,134.89,239
256,135.38,215
257,135.86,225
258,136.34,230
259,136.82,205
260,137.3,214
261,137.79,221
262,138.27,214
263,138.75,230
264,139.23,223
265,139.71,213
266,140.2,238
267,140.68,231
268,141.16,253
269,141.64,190
270,142.12,195
271,142.6,197
272,143.09,250
273,143.57,236
274,144.05,215
275,144.53,204
276,145.01,226
277,145.5,186
278,145.98,196
279,146.46,214
280,146.94,205
281,147.42,211
282,147.91,184
283,148.39,223
284,148.87,201
285,149.35,194
286,149.83,200
287,150.32,214
288,150.8,229
289,151.28,183
290,151.76,227
291,152.24,166
292,152.72,183
293,153.21,198
294,153.69,195
295,154.17,198
296,154.65,212
297,155.13,184
298,155.62,206
299,156.1,212
300,156.58,194
301,157.06,191
302,157.54,216
303,158.03,193
304,158.51,153
305,158.99,194
306,159.47,181
307,159.95,209
308,160.44,189
309,160.92,189
310,161.4,189
311,161.88,212
312,162.36,174
313,162.84,182
314,163.33,185
315,163.81,187
316,164.29,202
317,164.77,177
318,165.25,178
319,165.74,188
320,166.22,183
321,166.7,168
322,167.18,168
323,167.66,203
324,168.15,188
325,168.63,175
326,169.11,183
327,169.59,166
328,170.07,154
329,170.56,169
330,171.04,167
331,171.52,165
332,172.0,161
333,172.48,182
334,172.96,169
335,173.45,176
336,173.93,174
337,174.41,199
338,174.89,162
339,175.37,162
340,175.86,196
341,176.34,173
342,176.82,169
343,177.3,150
344,177.78,165
345,178.27,169
346,178.75,174
347,179.23,163
348,179.71,172
349,180.19,191
350,180.68,160
351,181.16,170
352,181.64,159
353,182.12,159
354,182.6,156
355,183.08,180
356,183.57,162
357,184.05,159
358,184.53,192
359,185.01,276
360,185.49,357
361,185.98,276
362,186.46,188
363,186.94,165
364,187.42,150
365,187.9,173
366,188.39,137
367,188.87,149
368,189.35,134
369,189.83,158
370,190.31,136
371,190.79,166
372,191.28,133
373,191.76,164
374,192.24,142
375,192.72,146
376,193.2,135
377,193.69,139
378,194.17,146
379,194.65,152
380,195.13,149
381,195.61,148
382,196.1,137
383,196.58,138
384,197.06,161
385,197.54,152
386,198.02,168
387,198.51,161
388,198.99,139
389,199.47,137
390,199.95,123
391,200.43,146
392,200.91,158
393,201.4,138
394,201.88,131
395,202.36,133
396,202.84,116
397,203.32,121
398,203.81,126
399,204.29,134
400,204.77,159
401,205.25,156
402,205.73,144
403,206.22,142
404,206.7,139
405,207.18,135
406,207.66,127
407,208.14,165
408,208.63,154
409,209.11,137
410,209.59,130
411,210.07,136
412,210.55,141
413,211.03,142
414,211.52,156
415,212.0,126
416,212.48,124
417,212.96,112
418,213.44,110
419,213.93,126
420,214.41,110
421,214.89,139
422,215.37,146
423,215.85,121
424,216.34,115
425,216.82,126
426,217.3,144
427,217.78,138
428,218.26,137
429,218.75,136
430,219.23,110
431,219.71,113
432,220.19,103
433,220.67,123
434,221.15,110
435,221.64,138
436,222.12,118
437,222.6,112
438,223.08,127
439,223.56,118
440,224.05,95
441,224.53,121
442,225.01,111
443,225.49,113
444,225.97,116
445,226.46,112
446,226.94,120
447,227.42,115
448,227.9,121
449,228.38,109
450,228.87,105
451,229.35,127
452,229.83,118
453,230.31,102
454,230.79,125
455,231.27,102
456,231.76,122
457,232.24,106
458,232.72,135
459,233.2,130
460,233.68,99
461,234.17,130
462,234.65,111
463,235.13,94
464,235.61,116
465,236.09,126
466,236.58,107
467,237.06,115
468,237.54,129
469,238.02,135
470,238.5,152
471,238.98,148
472,239.47,111
473,239.95,98
474,240.43,117
475,240.91,93
476,241.39,112
477,241.88,110
478,242.36,118
479,242.84,114
480,243.32,103
481,243.8,102
482,244.29,94
483,244.77,100
484,245.25,88
485,245.73,94
486,246.21,105
487,246.7,105
488,247.18,86
489,247.66,102
490,248.14,95
491,248.62,94
492,249.1,103
493,249.59,97
494,250.07,93
495,250.55,120
496,251.03,106
497,251.51,91
498,252.0,100
499,252.48,102
500,252.96,71
501,253.44,92
502,253.92,86
503,254.41,99
504,254.89,73
505,255.37,91
506,255.85,74
507,256.33,99
508,256.82,104
509,257.3,79
510,257.78,98
511,258.26,109
512,258.74,98
513,259.22,98
514,259.71,86
515,260.19,82
516,260.67,81
517,261.15,98
518,261.63,100
519,262.12,86
520,262.6,91
521,263.08,94
522,263.56,72
523,264.04,106
524,264.53,82
525,265.01,74
526,265.49,85
527,265.97,93
528,266.45,91
529,266.94,88
530,267.42,96
531,267.9,75
532,268.38,90
533,268.86,85
534,269.34,89
535,269.83,88
536,270.31,97
537,270.79,81
538,271.27,105
539,271.75,94
540,272.24,96
541,272.72,78
542,273.2,73
543,273.68,80
544,274.16,72
545,274.65,88
546,275.13,80
547,275.61,92
548,276.09,78
549,276.57,72
550,277.06,71
551,277.54,88
552,278.02,81
553,278.5,74
554,278.98,78
555,279.46,86
556,279.95,74
557,280.43,78
558,280.91,72
559,281.39,72
560,281.87,82
561,282.36,92
562,282.84,63
563,283.32,83
564,283.8,88
565,284.28,78
566,284.77,76
567,285.25,83
568,285.73,97
569,286.21,84
570,286.69,77
571,287.17,71
572,287.66,70
573,288.14,67
574,288.62,69
575,289.1,88
576,289.58,69
577,290.07,72
578,290.55,90
579,291.03,78
580,291.51,73
581,291.99,75
582,292.48,65
583,292.96,74
584,293.44,94
585,293.92,63
586,294.4,82
587,294.89,86
588,295.37,70
589,295.85,78
590,296.33,46
591,296.81,76
592,297.29,71
593,297.78,81
594,298.26,60
595,298.74,72
596,299.22,85
597,299.7,57
598,300.19,78
599,300.67,66
600,301.15,68
601,301.63,82
602,302.11,65
603,302.6,76
604,303.08,80
605,303.56,64
606,304.04,75
607,304.52,73
608,305.01,63
609,305.49,68
610,305.97,58
611,306.45,59
612,306.93,57
613,307.41,71
614,307.9,61
615,308.38,88
616,308.86,58
617,309.34,79
618,309.82,64
619,310.31,77
620,310.79,58
621,311.27,70
622,311.75,60
623,312.23,76
624,312.72,77
625,313.2,78
626,313.68,68
627,314.16,72
628,314.64,58
629,315.13,68
630,315.61,56
631,316.09,72
632,316.57,54
633,317.05,55
634,317.53,85
635,318.02,56
636,318.5,65
637,318.98,58
638,319.46,69
639,319.94,76
640,320.43,61
641,320.91,39
642,321.39,61
643,321.87,63
644,322.35,58
645,322.84,68
646,323.32,66
647,323.8,73
648,324.28,70
649,324.76,71
650,325.25,69
651,325.73,68
652,326.21,61
653,326.69,65
654,327.17,74
655,327.65,58
656,328.14,59
657,328.62,68
658,329.1,67
659,329.58,59
660,330.06,71
661,330.55,62
662,331.03,53
663,331.51,52
664,331.99,61
665,332.47,60
666,332.96,61
667,333.44,52
668,333.92,49
669,334.4,61
670,334.88,52
671,335.36,66
672,335.85,56
673,336.33,53
674,336.81,75
675,337.29,63
676,337.77,59
677,338.26,76
678,338.74,60
679,339.22,57
680,339.7,70
681,340.18,61
682,340.67,64
683,341.15,63
684,341.63,61
685,342.11,71
686,342.59,59
687,343.08,43
688,343.56,58
689,344.04,46
690,344.52,47
691,345.0,52
692,345.48,36
693,345.97,56
694,346.45,52
695,346.93,58
696,347.41,62
697,347.89,68
