Canal,Energía (keV),Cuentas,Eficiencia
1,11.99,2,0.001104480066076136
2,12.48,4,0.001104480066076136
3,12.96,3,0.001104480066076136
4,13.44,3,0.001104480066076136
5,13.92,3,0.001104480066076136
6,14.41,2,0.001104480066076136
7,14.89,1,0.001104480066076136
8,15.37,2,0.001104480066076136
9,15.86,0,0.001104480066076136
10,16.34,1,0.001104480066076136
11,16.82,9,0.001104480066076136
12,17.31,79,0.001104480066076136
13,17.79,223,0.001104480066076136
14,18.27,307,0.001104480066076136
15,18.75,413,0.001104480066076136
16,19.24,593,0.001104480066076136
17,19.72,800,0.001104480066076136
18,20.2,791,0.001104480066076136
19,20.69,713,0.001104480066076136
20,21.17,424,0.001104480066076136
21,21.65,318,0.001104480066076136
22,22.14,291,0.001104480066076136
23,22.62,240,0.001104480066076136
24,23.1,243,0.001104480066076136
25,23.58,223,0.001104480066076136
26,24.07,228,0.001104480066076136
27,24.55,196,0.001104480066076136
28,25.03,235,0.001104480066076136
29,25.52,175,0.001104480066076136
30,26.0,205,0.001104480066076136
31,26.48,184,0.001104480066076136
32,26.97,185,0.001104480066076136
33,27.45,168,0.001104480066076136
34,27.93,191,0.001104480066076136
35,28.41,174,0.001104480066076136
36,28.9,186,0.001104480066076136
37,29.38,194,0.001104480066076136
38,29.86,191,0.001104480066076136
39,30.35,171,0.0011999023963031432
40,30.83,159,0.001339222764579962
41,31.31,167,0.0014884481835943954
42,31.8,158,0.0016511011469783708
43,32.28,185,0.0018205993345531324
44,32.76,149,0.002000170755995373
45,33.24,186,0.002189786909401944
46,33.73,184,0.00239364220766755
47,34.21,174,0.002603305235165947
48,34.69,170,0.002822685588471135
49,35.18,172,0.00305646900381792
50,35.66,172,0.003294891854367622
51,36.14,185,0.0035423767020168477
52,36.63,217,0.0038040740609359266
53,37.11,173,0.004068989843053084
54,37.59,179,0.00434204207073327
55,38.07,158,0.004622876059026439
56,38.56,208,0.004917198257657478
57,39.04,163,0.005212596558548212
58,39.52,164,0.005514594577205539
59,40.01,180,0.005829255656274688
60,40.49,170,0.006143299056185132
61,40.97,164,0.006462645705807238
62,41.46,153,0.006793654801502942
63,41.94,190,0.007122360744792166
64,42.42,181,0.0074550209306839905
65,42.9,200,0.0077911866923430495
66,43.39,183,0.008137507829257904
67,43.87,189,0.008479397930961355
68,44.35,189,0.00882345649803366
69,44.84,186,0.009176471416768622
70,45.32,212,0.009523602672728702
71,45.8,236,0.009871623143255698
72,46.29,283,0.010227390486005515
73,46.77,212,0.010575982371333224
74,47.25,178,0.010924273033120572
75,47.74,184,0.011279124247134212
76,48.22,181,0.011625688386250752
77,48.7,191,0.011970871333757887
78,49.18,200,0.01231434242979294
79,49.67,194,0.012662874577834002
80,50.15,161,0.01300193430399539
81,50.63,193,0.013338368836763079
82,51.12,184,0.013678820628216803
83,51.6,214,0.014009130258460456
84,52.08,225,0.014336032523928222
85,52.57,206,0.014665991825323953
86,53.05,206,0.01498532097710951
87,53.53,188,0.015300590995574735
88,54.01,177,0.01561161413307218
89,54.5,181,0.01592455554212785
90,54.98,176,0.01622647850110325
91,55.46,199,0.016523668519841155
92,55.95,168,0.01682202789303326
93,56.43,185,0.01710925387132081
94,56.91,196,0.017391375952456625
95,57.4,185,0.017674008194255072
96,57.88,211,0.017945525197285563
97,58.36,192,0.01821167249653843
98,58.84,207,0.018472383422423043
99,59.33,201,0.018732859506857977
100,59.81,220,0.01898242113111129
101,60.29,209,0.019226403625177822
102,60.78,201,0.019469684101311818
103,61.26,205,0.019702311547946258
104,61.74,242,0.019929296526011945
105,62.23,398,0.020155184810109816
106,62.71,615,0.02037075832452001
107,63.19,500,0.020580694489649144
108,63.67,246,0.02078500827442768
109,64.16,233,0.02098780109342855
110,64.64,204,0.021180822799302508
111,65.12,210,0.021368302267851365
112,65.61,194,0.021554009308080494
113,66.09,216,0.021730406367062614
114,66.57,219,0.021901386539568222
115,67.06,208,0.022070393359403792
116,67.54,201,0.02223058321901357
117,68.02,205,0.022385518106468483
118,68.5,196,0.022535258322598707
119,68.99,233,0.022682825640366094
120,69.47,201,0.022822263908458755
121,69.95,243,0.022956706204031868
122,70.44,203,0.02308886938094682
123,70.92,226,0.023213432705041396
124,71.4,196,0.023333218610490238
125,71.89,244,0.02345065095755351
126,72.37,238,0.02356101501854752
127,72.85,218,0.023666834341834257
128,73.33,238,0.02376818819987441
129,73.82,274,0.023867130829437828
130,74.3,305,0.02395970597503588
131,74.78,269,0.024048059624462298
132,75.27,223,0.0241339845708423
133,75.75,252,0.02421405715699119
134,76.23,340,0.02429015599383517
135,76.72,306,0.02436382687109438
136,77.2,252,0.024432146449275393
137,77.68,237,0.024496740496612827
138,78.16,233,0.024557690804212672
139,78.65,245,0.024616237111226975
140,79.13,221,0.024670072217775545
141,79.61,197,0.024720508295254604
142,80.1,204,0.024768572198419513
143,80.58,220,0.024812382861174737
144,81.06,211,0.024853034116268106
145,81.55,220,0.024891354366354982
