Canal,Energía (keV),Cuentas,Eficiencia
1,12.49,3,0.001104480066076136
2,12.97,5,0.001104480066076136
3,13.46,1,0.001104480066076136
4,13.94,4,0.001104480066076136
5,14.42,2,0.001104480066076136
6,14.9,4,0.001104480066076136
7,15.38,4,0.001104480066076136
8,15.87,1,0.001104480066076136
9,16.35,4,0.001104480066076136
10,16.83,0,0.001104480066076136
11,17.31,12,0.001104480066076136
12,17.79,78,0.001104480066076136
13,18.27,241,0.001104480066076136
14,18.76,279,0.001104480066076136
15,19.24,461,0.001104480066076136
16,19.72,709,0.001104480066076136
17,20.2,961,0.001104480066076136
18,20.68,1119,0.001104480066076136
19,21.17,883,0.001104480066076136
20,21.65,633,0.001104480066076136
21,22.13,416,0.001104480066076136
22,22.61,342,0.001104480066076136
23,23.09,243,0.001104480066076136
24,23.58,261,0.001104480066076136
25,24.06,247,0.001104480066076136
26,24.54,258,0.001104480066076136
27,25.02,229,0.001104480066076136
28,25.5,222,0.001104480066076136
29,25.99,238,0.001104480066076136
30,26.47,179,0.001104480066076136
31,26.95,201,0.001104480066076136
32,27.43,187,0.001104480066076136
33,27.91,186,0.001104480066076136
34,28.39,149,0.001104480066076136
35,28.88,144,0.001104480066076136
36,29.36,182,0.001104480066076136
37,29.84,172,0.001104480066076136
38,30.32,186,0.0011915207684960627
39,30.8,186,0.0013302263015158816
40,31.29,194,0.0014820312749125443
41,31.77,177,0.001640841899967754
42,32.25,196,0.0018097105085060272
43,32.73,153,0.001988652760783919
44,33.21,168,0.0021776427275465964
45,33.7,161,0.002380864471512305
46,34.18,173,0.002589914896921741
47,34.66,163,0.0028086929197122636
48,35.14,182,0.0030370175396076796
49,35.62,191,0.00327467351570283
50,36.11,181,0.0035266485592631474
51,36.59,179,0.003782375604603964
52,37.07,183,0.004046598022697148
53,37.55,150,0.004318985468221163
54,38.03,191,0.004599185024915067
55,38.51,174,0.004886823693040604
56,39.0,188,0.00518772225565339
57,39.48,173,0.005489186170806051
58,39.96,174,0.005796865511060108
59,40.44,209,0.006110331189754396
60,40.92,176,0.0064291460334952675
61,41.41,178,0.006759660116673169
62,41.89,171,0.0070879283324554
63,42.37,171,0.007420197570142135
64,42.85,201,0.007756019057760981
65,43.33,202,0.00809494579150057
66,43.82,176,0.008443675728199
67,44.3,189,0.00878752867197389
68,44.78,169,0.009133163099554897
69,45.26,199,0.009480154217220153
70,45.74,199,0.009828085903039225
71,46.22,240,0.010176551724366677
72,46.71,283,0.010532417124372718
73,47.19,228,0.010880765959409231
74,47.67,193,0.01122848864894912
75,48.15,173,0.011575225765781556
76,48.63,199,0.011920631059636082
77,49.12,200,0.012271513120454988
78,49.6,185,0.012613226055263011
79,50.08,198,0.012952644908226722
80,50.56,200,0.013289479659991152
81,51.04,186,0.013623454698899027
82,51.53,226,0.013961166670443469
83,52.01,204,0.014288580509946434
84,52.49,207,0.014612389609666683
85,52.97,213,0.01493237606517933
86,53.45,215,0.015248336013520655
87,53.94,193,0.01556652795408782
88,54.42,189,0.015873785085636465
89,54.9,187,0.01617648285343052
90,55.38,173,0.01647447141296298
91,55.86,197,0.016767613602324496
92,56.34,194,0.017055784597582634
93,56.83,144,0.01734471438911012
94,57.31,212,0.0176225070335146
95,57.79,200,0.01789502260142978
96,58.27,199,0.01816218210460372
97,58.75,198,0.018423916966288437
98,59.24,192,0.018685448518338987
99,59.72,190,0.018936052277461014
100,60.2,186,0.019181083340583847
101,60.68,196,0.019420510892517086
102,61.16,190,0.019654312491371045
103,61.65,209,0.019887166986113182
104,62.13,223,0.02010956317979022
105,62.61,397,0.0203263124444116
106,63.09,608,0.02053742202837539
107,63.57,561,0.02074290560775573
108,64.06,285,0.02094688758926142
109,64.54,202,0.02114106812421738
110,65.02,214,0.021329699339332132
111,65.5,226,0.021512817163400796
112,65.98,188,0.021690462214758226
113,66.46,210,0.021862679485225446
114,66.95,202,0.02203293701428548
115,67.43,244,0.022194339307028174
116,67.91,218,0.022350473242614445
117,68.39,185,0.022501398423491723
118,68.87,206,0.02264717740020915
119,69.36,209,0.02279075308018812
120,69.84,215,0.022926334138688474
121,70.32,226,0.02305697334892502
122,70.8,203,0.02318274268240511
123,71.28,210,0.023303715900781126
124,71.77,216,0.02342234063033548
125,72.25,222,0.023533853148290693
126,72.73,251,0.023640801260549967
127,73.21,275,0.023743264004415194
128,73.69,210,0.023841321298225825
129,74.18,242,0.023936961140055665
130,74.66,271,0.0240263625113601
131,75.14,276,0.024111603682441966
132,75.62,218,0.024192766645445552
133,76.1,233,0.024269933583427918
134,76.58,275,0.024343186756113196
135,77.07,304,0.02441401452186047
136,77.55,256,0.02447960947887044
137,78.03,210,0.024541538574165248
138,78.51,216,0.024599883361382708
139,78.99,235,0.024654724998480343
140,79.48,233,0.024707179586479906
141,79.96,218,0.02475518765757361
142,80.44,218,0.024799934598138555
143,80.92,245,0.024841499265006305
144,81.4,221,0.024879959791889703
145,81.89,222,0.0249161001057307
146,82.37,217,0.024948522956923215
